Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login UI,Firefox 118.0,,,2023-10-25 18:55:36,2023-10-25 18:57:05,1m - 28.829s,ERROR
,,,,,,,
Test Cases/Login test/Login UI-1,Firefox 118.0,,,2023-10-25 18:55:37,2023-10-25 18:56:39,1m - 2.437s,PASSED
"openBrowser("""")",Firefox 118.0,,,2023-10-25 18:55:37,2023-10-25 18:55:46,8.904s,PASSED
"navigateToUrl(""https://pointposmqa.live1.dev.radixweb.net/pointposm#/ZGFzaGJvYXJk"")",Firefox 118.0,,,2023-10-25 18:55:46,2023-10-25 18:56:10,23.461s,PASSED
"com.kms.katalon.keyword.applitools.BasicKeywords.checkWindow(""Login UI"")",Firefox 118.0,,,2023-10-25 18:56:10,2023-10-25 18:56:37,27.058s,PASSED
closeBrowser(),Firefox 118.0,,,2023-10-25 18:56:37,2023-10-25 18:56:39,2.414s,PASSED
,,,,,,,
Test Cases/Login test/Login UI-1,Firefox 118.0,,,2023-10-25 18:56:39,2023-10-25 18:57:05,25.947s,ERROR
"openBrowser("""")",Firefox 118.0,,,2023-10-25 18:56:39,2023-10-25 18:56:46,6.930s,PASSED
"navigateToUrl(""https://pointposmqa.live1.dev.radixweb.net/pointposm#/ZGFzaGJvYXJk"")",Firefox 118.0,,,2023-10-25 18:56:46,2023-10-25 18:56:47,1.157s,PASSED
"com.kms.katalon.keyword.applitools.BasicKeywords.checkWindow(""Login UI"")",Firefox 118.0,,,2023-10-25 18:56:47,2023-10-25 18:57:05,17.818s,ERROR
